eid,nid_s,nid_e,type,lanes,capacity,maxmph,fft,length,geometry
54,17,101,residential,1.0,1900.0,20.0,1.6946393499999999,15.151,"LINESTRING (531979.1973004445 4206654.881205888, 531987.5955171961 4206642.287470912)"
55,17,18,residential,1.0,1900.0,20.0,6.239775949999999,55.787,"LINESTRING (531979.1973004445 4206654.881205888, 531954.2415317306 4206667.543307296, 531926.3887472959 4206668.976665621)"
56,17,16,residential,1.0,1900.0,20.0,7.760153,69.38,"LINESTRING (531979.1973004445 4206654.881205888, 532012.5135596419 4206652.726041527, 532046.0842776722 4206639.421087239)"
57,18,102,residential,1.0,1900.0,20.0,1.6636569,14.874,"LINESTRING (531926.3887472959 4206668.976665621, 531911.760523421 4206671.815416272)"
58,18,17,residential,1.0,1900.0,20.0,6.239775949999999,55.787,"LINESTRING (531926.3887472959 4206668.976665621, 531954.2415317306 4206667.543307296, 531979.1973004445 4206654.881205888)"
59,18,99,service,1.0,1900.0,20.0,1.1742012999999998,10.498,"LINESTRING (531926.3887472959 4206668.976665621, 531925.5397979923 4206663.813965512, 531924.6821119963 4206658.640135955)"
60,19,67,residential,1.0,1900.0,20.0,2.5224412,22.552,"LINESTRING (532319.9155053558 4206687.611218477, 532304.259750296 4206703.837411487)"
61,19,20,residential,1.0,1900.0,20.0,10.824843000000001,96.78,"LINESTRING (532319.9155053558 4206687.611218477, 532280.8932131482 4206656.367462208, 532263.6822565489 4206612.916257893)"
62,19,6,residential,1.0,1900.0,20.0,25.26836905,225.913,"LINESTRING (532319.9155053558 4206687.611218477, 532369.1997241187 4206687.950608262, 532384.5002019821 4206663.945218211, 532368.7026515637 4206607.351280706, 532372.5446727856 4206597.092118498, 532375.276413832 4206587.871530044, 532372.9754674297 4206557.061441788, 532384.9078051893 4206521.270435789)"
63,20,15,residential,1.0,1900.0,20.0,24.7998294,221.724,"LINESTRING (532263.6822565489 4206612.916257893, 532257.5413988447 4206582.867721351, 532251.623337932 4206567.53263508, 532242.8968974482 4206554.172553574, 532221.4906835172 4206532.562922366, 532194.5219468437 4206530.082165802, 532144.1378043352 4206545.761336002, 532123.6840360662 4206545.314727393, 532096.7896126596 4206537.331244517)"
64,20,19,residential,1.0,1900.0,20.0,10.824843000000001,96.78,"LINESTRING (532263.6822565489 4206612.916257893, 532280.8932131482 4206656.367462208, 532319.9155053558 4206687.611218477)"
65,20,88,residential,1.0,1900.0,20.0,22.91057105,204.833,"LINESTRING (532263.6822565489 4206612.916257893, 532201.8334058296 4206606.21465881, 532161.1814143509 4206614.076514943, 532116.9095522779 4206640.553595767, 532085.85399682 4206679.543004912)"
66,20,2,"['track', 'residential']",1.0,1900.0,20.0,29.3510059,262.414,"LINESTRING (532263.6822565489 4206612.916257893, 532299.9285017902 4206591.412276945, 532291.2058804942 4206559.345230686, 532288.8211939579 4206549.638382438, 532283.2503108939 4206528.657062904, 532278.6924024398 4206522.370123476, 532268.2945479018 4206487.633580162, 532274.1537028521 4206457.887642273, 532258.75700339 4206417.317354569, 532240.008535726 4206385.11093255)"
67,21,15,residential,1.0,1900.0,20.0,22.38196795,200.107,"LINESTRING (531974.7522407697 4206381.9713726, 532046.9307293984 4206454.984825895, 532068.5573323783 4206483.241026434, 532082.7642138525 4206500.605703041, 532096.7896126596 4206537.331244517)"
68,21,87,residential,1.0,1900.0,20.0,37.4042059,334.41400000000004,"LINESTRING (531974.7522407697 4206381.9713726, 531971.1513423502 4206339.694745678, 531968.089609827 4206312.18826356, 531962.1021434501 4206289.718761904, 531955.9331971832 4206268.746440142, 531947.6652364439 4206238.96723288, 531941.6298129014 4206217.507247205, 531939.8297655601 4206199.603268676, 531927.1204341429 4206174.00079969, 531922.7250419467 4206146.222841621, 531911.6670451569 4206129.381151528, 531910.8089705118 4206115.297691912, 531919.6357847175 4206074.01277112, 531917.8645969743 4206059.936839973)"
