eid,nid_s,nid_e,type,lanes,capacity,maxmph,fft,length,geometry
80,89,153,residential,1,1900.0,25.0,13.243274245429555,148.00261785236427,"LINESTRING (525808.9932039165 4194548.640025446, 525767.0254919225 4194541.407182514, 525741.0853693178 4194534.213745428, 525703.6042622951 4194520.471368022, 525668.4968450796 4194503.929521087)"
81,153,89,residential,1,1900.0,25.0,13.243274245429555,148.00261785236427,"LINESTRING (525668.4968450796 4194503.929521087, 525703.6042622951 4194520.471368022, 525741.0853693178 4194534.213745428, 525767.0254919225 4194541.407182514, 525808.9932039165 4194548.640025446)"
82,153,57,residential,1,1900.0,25.0,3.1961402818706772,35.71904651174203,"LINESTRING (525668.4968450796 4194503.929521087, 525638.1884941434 4194484.97299016)"
83,57,153,residential,1,1900.0,25.0,3.1961402818706772,35.71904651174203,"LINESTRING (525638.1884941434 4194484.97299016, 525668.4968450796 4194503.929521087)"
84,57,154,residential,1,1900.0,25.0,4.30585525172226,48.12086781093272,"LINESTRING (525638.1884941434 4194484.97299016, 525633.6168021354 4194482.107250528, 525597.2440159748 4194459.614763292)"
85,154,57,residential,1,1900.0,25.0,4.30585525172226,48.12086781093272,"LINESTRING (525597.2440159748 4194459.614763292, 525633.6168021354 4194482.107250528, 525638.1884941434 4194484.97299016)"
86,26,208,residential,1,1900.0,25.0,14.31063478271698,159.93109949393136,"LINESTRING (525451.4399782667 4194653.947273872, 525446.6480849847 4194719.216209846, 525444.7245142756 4194746.959189382, 525447.7571555905 4194764.121687104, 525446.5653024736 4194777.054924172, 525427.0068704785 4194807.228524935)"
87,208,26,residential,1,1900.0,25.0,14.310634782716983,159.9310994939314,"LINESTRING (525427.0068704785 4194807.228524935, 525446.5653024736 4194777.054924172, 525447.7571555905 4194764.121687104, 525444.7245142756 4194746.959189382, 525446.6480849847 4194719.216209846, 525451.4399782667 4194653.947273872)"
88,208,1,residential,1,1900.0,25.0,9.361811845203725,104.62462947254944,"LINESTRING (525427.0068704785 4194807.228524935, 525401.332492426 4194853.493374903, 525367.9431288949 4194892.86654541)"
89,1,208,residential,1,1900.0,25.0,9.361811845203725,104.62462947254944,"LINESTRING (525367.9431288949 4194892.86654541, 525401.332492426 4194853.493374903, 525427.0068704785 4194807.228524935)"
90,98,67,residential,1,1900.0,25.0,4.420479016107302,49.40186651885676,"LINESTRING (527731.549295927 4195397.038250544, 527727.6574489083 4195409.263066125, 527729.3275816017 4195445.694170195)"
91,67,98,residential,1,1900.0,25.0,4.420479016107302,49.40186651885676,"LINESTRING (527729.3275816017 4195445.694170195, 527727.6574489083 4195409.263066125, 527731.549295927 4195397.038250544)"
92,178,181,residential,1,1900.0,25.0,9.956060282600276,111.26576086947114,"LINESTRING (531364.9334838326 4195159.86758962, 531271.0794944247 4195122.251446644, 531266.488599019 4195118.106524509, 531263.5897659503 4195115.188528376)"
