OBJECTID,Acres,PropID,UseCd,UseCdDesc,Jurisdicti,SHAPESTAre,SHAPESTLen,kmlgeometry
93558,0.114,168-280-03,61,Exemption - Improved,Unincorporated,4979.083984375,311.56908250168755,"POLYGON ((38.0163088017336 -122.68417583639,38.0162270699083 -122.684545738763,38.0162270059624 -122.68454602176,38.0163490100151 -122.684584875533,38.0163490303974 -122.684584761914,38.0164262693697 -122.684212180656,38.0163088017336 -122.68417583639))"
93559,0.298,172-121-04,11,Single-Resid. - Improved,Unincorporated,13007.0029296875,480.80219851202423,"POLYGON ((38.0060022936476 -122.632332845043,38.0058747945643 -122.632442895169,38.0056485868514 -122.632551827625,38.0059290900911 -122.632843768833,38.0059481429033 -122.632817527507,38.0059486004658 -122.632816896795,38.0059490795821 -122.632816318696,38.0059805304399 -122.63277825787,38.0059812170609 -122.632777423125,38.005981919546 -122.63277670304,38.006015591105 -122.632742191796,38.006153577406 -122.632623838357,38.0060022936476 -122.632332845043))"
93560,0.166,172-343-03,11,Single-Resid. - Improved,Unincorporated,7246.5322265625,342.99883960432993,"POLYGON ((37.998626835697 -122.634134989561,37.9985536896447 -122.634016095043,37.9983267143919 -122.634219856762,37.9983292572734 -122.634223534865,37.9983297764015 -122.634224227424,37.998398505843 -122.634315922188,37.9983987303352 -122.634316224579,37.9983990834499 -122.634316627986,37.9984738402189 -122.634401924648,37.998509329337 -122.634436045065,37.9986539171154 -122.63417901556,37.998626835697 -122.634134989561))"
93561,0.717,172-081-01,11,Single-Resid. - Improved,Unincorporated,31256.69921875,760.5668603956015,"POLYGON ((38.0093760573035 -122.635493108123,38.0089679655764 -122.63484665656,38.0087813402657 -122.635203893061,38.0089644064025 -122.635579902057,38.0091346606274 -122.635929669147,38.0093760573035 -122.635493108123))"
93562,0.235,172-082-03,11,Single-Resid. - Improved,Unincorporated,10278.9462890625,401.108048910216,"POLYGON ((38.0085047935389 -122.635155889518,38.0086711565331 -122.63511127968,38.0087600715294 -122.634950743097,38.0084829494337 -122.634685722764,38.0083877889572 -122.634867231252,38.0085047935389 -122.635155889518))"
93565,0.477,172-301-30,11,Single-Resid. - Improved,Unincorporated,20803.884765625,773.7081675170225,"POLYGON ((38.0017237975626 -122.638775670025,38.0017348554659 -122.638164212898,38.0017115503321 -122.638156900027,38.0014188175579 -122.638207080705,38.0010390286754 -122.638022174946,38.0011690556767 -122.638160402733,38.0013541892653 -122.638445493031,38.0017237975626 -122.638775670025))"
93566,0.266,172-321-08,11,Single-Resid. - Improved,Unincorporated,11625.2353515625,510.06564044919935,"POLYGON ((38.00079866968 -122.636495855907,38.0006814272443 -122.636128772752,38.0002413037529 -122.636161929236,38.0002935308501 -122.636293949761,38.00079866968 -122.636495855907))"
93567,0.381,172-282-28,11,Single-Resid. - Improved,Unincorporated,16608.4541015625,585.7896651043505,"POLYGON ((38.0055133343545 -122.64342861027,38.0054719704039 -122.642953719725,38.0053098603552 -122.643011628706,38.005313337638 -122.643058703469,38.0051630799544 -122.64311233688,38.0052775047383 -122.643742581934,38.0053543231926 -122.643547985856,38.0055133343545 -122.64342861027))"
93568,0.688,172-321-07,11,Single-Resid. - Improved,Unincorporated,29989.5419921875,738.5892743736773,"POLYGON ((38.0002413037529 -122.636161929236,38.0006814272443 -122.636128772752,38.0006376195129 -122.635983925206,38.0006991853252 -122.635627148851,38.0007120835942 -122.635345352999,38.0003767863778 -122.635488577321,38.0003849569194 -122.635577612456,38.0002810806915 -122.635719639868,38.0001956639875 -122.636046659796,38.0002413037529 -122.636161929236))"
93569,0.056,172-011-05,51,Commercial - Improved,Unincorporated,2447.7392578125,198.06530734216068,"POLYGON ((38.0130970628541 -122.643906044616,38.0130510013424 -122.6440498679,38.0130487459289 -122.644056939427,38.0131772270489 -122.644127466819,38.0132293457639 -122.643973674092,38.0130970628541 -122.643906044616))"
