Parcel,origin_osmid,dept_time,type,destin_osmid
19213233,110383328,0,local,110397253
19316226,110445895,0,local,110397253
19022230,110388962,0,local,110397253
18817019,3401274918,0,local,110397253
19004136,110414475,0,local,110397253
19208236,110419724,0,local,110397253
19015121,110435310,0,local,110397253
19310102,110443299,0,local,110397253
19314117,110443304,0,local,110397253
19013229,110441918,0,local,110397253
19109120,110388963,0,local,110397253
19314207,110421540,0,local,110397253
19003310,110387967,0,local,110397253
19302051,110367804,0,local,110397253
19207122,110456934,0,local,110397253
19311304,110394015,0,local,110397253
19004134,110414478,0,local,110397253
19309221,110386918,0,local,110397253
19212134,110383610,0,local,110397253
19313226,110421553,0,local,110397253
19116218,110398029,0,local,110397253
18815078,110393217,0,local,110397253
19310201,110350999,0,local,110397253
18815020,110393217,0,local,110397253
19223115,110459170,0,local,110397253
19109125,110412273,0,local,110397253
19209229,110401286,0,local,110397253
19204123,3367883696,0,local,110397253
19218229,110392598,0,local,110397253
19219226,110460424,0,local,110397253
19007124,110455262,0,local,110397253
19003131,110387961,0,local,110397253
19312133,110451170,0,local,110397253
18814029,110367728,0,local,110397253
19120213,110407256,0,local,110397253
19226203,110410670,0,local,110397253
19103238,110461563,0,local,110397253
19219122,110392604,0,local,110397253
19208117,110419724,0,local,110397253
19009107,110392830,0,local,110397253
19119116,110455254,0,local,110397253
19210218,110401284,0,local,110397253
19215121,110438784,0,local,110397253
19117213,110435295,0,local,110397253
19316223,110445895,0,local,110397253
19205227,110383326,0,local,110397253
19223112,110419729,0,local,110397253
19313335,110421520,0,local,110397253
19122224,110388967,0,local,110397253
19207121,110401288,0,local,110397253
19106124,110392632,0,local,110397253
19209226,110383326,0,local,110397253
18810004,110396428,0,local,110397253
19021122,110365447,0,local,110397253
19306101,110393241,0,local,110397253
19103131,110392611,0,local,110397253
18817033,110382855,0,local,110397253
19125120,110417193,0,local,110397253
18814058,110367728,0,local,110397253
19017119,312072227,0,local,110397253
